ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,74/1291,130/10616,9.20595034710691e-35,1.0936669012363e-31,1.03106643887597e-31,VCAM1/CD160/FCGR1A/CD1A/CD1C/SLAMF6/SLAMF7/FCGR3A/FCGR2B/SH2D1B/CD247/SELL/CD8A/CD8B/ITGA4/CD96/CD200R1/HLA-F/HLA-G/HLA-B/MICB/NCR3/TREML1/TREM2/TREML2/TREM1/JAML/CD3E/CD3D/CD3G/CRTAM/KLRG1/KLRB1/CLEC2D/KLRF1/CLEC2B/KLRD1/KLRK1/KLRC1/ITGB7/B2M/CD19/ITGAL/CD300A/CD300LB/CD300E/CD300LF/CD226/MADCAM1/ICAM5/ICAM3/CD22/HCST/TYROBP/SIGLEC9/CD33/SIGLEC10/SIGLEC8/SIGLEC6/SIGLEC5/OSCAR/LILRA4/LAIR1/LAIR2/LILRA2/LILRA1/LILRB1/LILRB4/KIR3DL2/NCR1/ITGB2/SH2D1A/CD40LG/CD300LG,74
R-HSA-500792,GPCR ligand binding,126/1291,467/10616,4.0430683058151e-19,2.40158257365417e-16,2.26411825125646e-16,TAS1R3/UTS2/CNR2/PTAFR/LPAR3/XCL2/XCL1/UCN/OXER1/TACR1/CXCR4/CXCR2/CXCR1/WNT6/WNT10A/CCL20/GPR55/GPR35/WNT7A/CCR4/CX3CR1/CCR8/CCR9/CXCR6/XCR1/CCR2/CCR5/GRM2/PROK2/P2RY13/P2RY12/UTS2B/CXCL9/CXCL10/CXCL11/CXCL13/CCR6/WNT16/TAS2R5/KEL/GNRH1/PNOC/CCL19/NPFFR1/WNT8B/ADRA2A/CXCR5/C3AR1/TAS2R19/TAS2R43/WNT10B/WNT1/PMCH/HCAR2/HCAR3/LPAR6/CYSLTR2/GPR18/GPR183/LTB4R/GNG2/PTGDR/GPR65/GPR68/GPR132/CCL22/CCL17/CCL13/CCR7/CRHR1/GCGR/HRH4/MC4R/KISS1R/S1PR4/ADGRE1/CCL25/S1PR5/ADGRE3/ADGRE2/INSL3/FFAR2/GNG8/C5AR1/FPR3/PROKR2/OPRL1/ADORA2A/CXCR3/CYSLTR1/P2RY10/HCRTR1/AGT/POMC/GPR39/GPBAR1/VIPR1/AGTR1/P2RY14/ECE2/SST/ADRA1B/TAC1/WNT2/GRM8/OPN1SW/TRHR/GABBR2/QRFP/OPN4/ADRB1/CALCA/CHRM4/GAL/DHH/RXFP2/EDNRB/TSHR/BDKRB2/BDKRB1/NMB/WNT9B/GRP/GPR4/GNRH2/EDN3,126
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),99/1291,335/10616,4.08016628869948e-18,1.61574585032499e-15,1.52326208111447e-15,UTS2/CNR2/PTAFR/LPAR3/XCL2/XCL1/OXER1/TACR1/CXCR4/CXCR2/CXCR1/CCL20/GPR55/GPR35/CCR4/CX3CR1/CCR8/CCR9/CXCR6/XCR1/CCR2/CCR5/PROK2/P2RY13/P2RY12/UTS2B/CXCL9/CXCL10/CXCL11/CXCL13/CCR6/KEL/GNRH1/PNOC/CCL19/NPFFR1/ADRA2A/CXCR5/C3AR1/PMCH/HCAR2/HCAR3/LPAR6/CYSLTR2/GPR18/GPR183/LTB4R/PTGDR/GPR65/GPR68/GPR132/CCL22/CCL17/CCL13/CCR7/HRH4/MC4R/KISS1R/S1PR4/CCL25/S1PR5/INSL3/FFAR2/C5AR1/FPR3/PROKR2/OPRL1/ADORA2A/CXCR3/CYSLTR1/P2RY10/HCRTR1/AGT/POMC/GPR39/GPBAR1/AGTR1/P2RY14/ECE2/SST/ADRA1B/TAC1/OPN1SW/TRHR/QRFP/OPN4/ADRB1/CHRM4/GAL/RXFP2/EDNRB/TSHR/BDKRB2/BDKRB1/NMB/GRP/GPR4/GNRH2/EDN3,99
R-HSA-202433,Generation of second messenger molecules,22/1291,33/10616,3.20979377336797e-13,9.53308750690287e-11,8.98742256543032e-11,LCK/CD101/CD247/ZAP70/FYB1/ITK/LCP2/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD3E/CD3D/CD3G/CD4/EVL/LAT/GRAP2/WAS,22
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,17/1291,22/10616,3.65645646138627e-12,8.68774055225379e-10,8.19046247350525e-10,LCK/PTPN22/CD247/PTPRC/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/PAG1/CD3E/CD3D/CD3G/CD4/CSK,17
R-HSA-375276,Peptide ligand-binding receptors,60/1291,201/10616,1.20010063849932e-11,2.10917007089001e-09,1.98844316447543e-09,UTS2/XCL2/XCL1/TACR1/CXCR4/CXCR2/CXCR1/CCL20/CCR4/CX3CR1/CCR8/CCR9/CXCR6/XCR1/CCR2/CCR5/PROK2/UTS2B/CXCL9/CXCL10/CXCL11/CXCL13/CCR6/KEL/PNOC/CCL19/NPFFR1/CXCR5/C3AR1/PMCH/CCL22/CCL17/CCL13/CCR7/MC4R/KISS1R/CCL25/INSL3/C5AR1/FPR3/PROKR2/OPRL1/CXCR3/HCRTR1/AGT/POMC/AGTR1/ECE2/SST/TAC1/TRHR/QRFP/GAL/RXFP2/EDNRB/BDKRB2/BDKRB1/NMB/GRP/EDN3,60
R-HSA-389948,PD-1 signaling,17/1291,23/10616,1.24277697779714e-11,2.10917007089001e-09,1.98844316447543e-09,LCK/CD247/PDCD1/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD274/CD3E/CD3D/CD3G/CD4/PTPN6/CSK,17
R-HSA-5669034,TNFs bind their physiological receptors,19/1291,29/10616,2.18782217592765e-11,3.24891593125256e-09,3.06295104629871e-09,TNFRSF18/TNFRSF4/TNFRSF25/TNFRSF9/TNFRSF8/TNFRSF1B/FASLG/TNFSF4/EDAR/LTA/TNFSF8/CD27/TNFSF11/TNFSF13B/TNFRSF17/TNFRSF13B/TNFSF9/CD70/TNFRSF11B,19
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,15/1291,19/10616,4.20576855729818e-11,5.5516144956336e-09,5.23384531574885e-09,LCK/PTPN22/CD247/ZAP70/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD3E/CD3D/CD3G/CD4,15
R-HSA-380108,Chemokine receptors bind chemokines,27/1291,59/10616,1.50484058887378e-10,1.78775061958205e-08,1.68542145953863e-08,XCL2/XCL1/CXCR4/CXCR2/CXCR1/CCL20/CCR4/CX3CR1/CCR8/CCR9/CXCR6/XCR1/CCR2/CCR5/CXCL9/CXCL10/CXCL11/CXCL13/CCR6/CCL19/CXCR5/CCL22/CCL17/CCL13/CCR7/CCL25/CXCR3,27
R-HSA-877300,Interferon gamma signaling,35/1291,92/10616,1.72015963826006e-10,1.85777240932086e-08,1.7514352680466e-08,PTAFR/GBP1/GBP2/GBP4/GBP5/VCAM1/FCGR1A/TRIM46/TRIM17/IRF1/IRF4/HLA-F/HLA-G/HLA-B/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/IRF5/TRIM14/TRIM22/PTPN6/IFNG/OAS1/OAS3/OAS2/OASL/B2M/CIITA/IRF8/IFI30/MT2A,35
R-HSA-418594,G alpha (i) signalling events,93/1291,405/10616,4.55642744379034e-10,4.51086316935244e-08,4.25266561420432e-08,TAS1R3/CNR2/LPAR3/RGS18/RGS1/RGS13/OXER1/CXCR4/DHRS9/CXCR2/CXCR1/CCL20/GPR55/CCR4/CX3CR1/CCR8/CCR9/CXCR6/CCR2/CCR5/GRM2/P2RY13/P2RY12/CXCL9/CXCL10/CXCL11/CXCL13/CAMK4/RGS14/GPSM3/GUCA1B/CCR6/GPC2/TAS2R5/PNOC/ADCY8/CCL19/ADRA2A/GRK2/CXCR5/C3AR1/TAS2R19/TAS2R43/RDH16/PMCH/HCAR2/HCAR3/GPR18/GPR183/GNG2/PLCB2/STRA6/ADCY7/CCL13/CCR7/RGS9/PDE6G/HRH4/S1PR4/PCP2/CCL25/S1PR5/APOC2/GNG8/C5AR1/FPR3/PRKCG/RGS19/OPRL1/CXCR3/DHRS3/LRP8/AGT/POMC/P2RY14/SST/CLPS/GRM8/OPN1SW/AKR1B10/LPL/GABBR2/AKR1C1/AKR1C3/RBP4/PNLIP/CHRM4/GAL/APOA1/RDH12/BDKRB2/BDKRB1/LDLR,93
R-HSA-449147,Signaling by Interleukins,99/1291,460/10616,5.006224072807e-09,4.57491861422671e-07,4.31305458580296e-07,PIK3CD/TNFRSF1B/PTAFR/LCK/CSF3R/IL23R/VCAM1/H3C13/IL6R/FASLG/PTPN7/IL24/IL18R1/IL18RAP/IL1B/STAT4/CCL20/INPP5D/IL5RA/CCR2/CCR5/CD80/CD86/IL12A/CXCL10/IL2/IL7R/LMNB1/CSF2/IL4/CSF1R/HAVCR2/IL12B/IRF4/H3C4/H3C12/TNF/PSMB9/IL22RA2/PTK2B/IL7/CCL19/GATA3/ALOX5/NFKB2/SIGIRR/CASP1/IL18/IL10RA/CD4/PTPN6/IL23A/IFNG/IL26/LCP1/BATF/IL16/IL4R/IL21R/ITGAM/ITGAX/NOD2/CCL22/IL34/IL17C/LGALS9/BIRC5/PSMA8/EBI3/VAV1/FCER2/IL27RA/JAK3/IL12RB1/SNAP25/HCK/MMP9/ITGB2/OSM/CSF2RB/IL2RB/CSF2RA/IL2RG/IL9R/POMC/IL36RN/PSMD14/IRS1/PSMD1/CISH/CEBPD/CNTFR/TALDO1/PTPN5/MMP3/HSP90B1/PSMB5/PTPN9/PSMC4,99
R-HSA-388841,Costimulation by the CD28 family,26/1291,69/10616,4.81524224819395e-08,4.08607699346743e-06,3.85219379855516e-06,LCK/CD247/CD28/CTLA4/ICOS/PDCD1/BTLA/CD80/CD86/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD274/CD3E/CD3D/CD3G/CD4/PTPN6/CSK/VAV1/TRIB3/GRAP2,26
R-HSA-416476,G alpha (q) signalling events,55/1291,217/10616,5.66040996739857e-08,4.48304469417967e-06,4.22643944232427e-06,UTS2/PTAFR/LPAR3/XCL2/XCL1/RGS18/RGS1/RGS13/RGS2/TACR1/XCR1/PROK2/UTS2B/GNRH1/NPFFR1/RASGRP2/GRK2/DGKA/PMCH/LPAR6/CYSLTR2/LTB4R/GNG2/GPR65/GPR68/GPR132/RASGRP1/PLCB2/GCGR/KISS1R/FFAR2/GNG8/PROKR2/RGS19/CYSLTR1/P2RY10/BTK/HCRTR1/AGT/GPR39/AGTR1/ADRA1B/TAC1/TRHR/QRFP/OPN4/MMP3/EDNRB/BDKRB2/BDKRB1/NMB/GRP/GPR4/GNRH2/EDN3,55
R-HSA-6798695,Neutrophil degranulation,97/1291,477/10616,1.3702185047576e-07,1.01738723978252e-05,9.59152953330321e-06,KCNAB2/SLC2A5/TNFRSF1B/PADI2/FGR/PTAFR/CD53/CTSS/MNDA/HSPA6/FCGR3B/SELL/PTPRC/CR1/TMEM63A/CXCR2/CXCR1/NBEAL2/PLAC8/HPSE/TLR2/DOCK2/STK10/DOK3/HLA-B/HSPA1A/HSPA1B/VNN1/CLEC5A/AOC1/FCN1/ALOX5/ADAM8/AMPD3/TBC1D10C/TCIRG1/CRACR2A/PTPN6/C3AR1/CLEC12A/OLR1/LRMP/BIN2/NCKAP1L/ARHGAP9/LYZ/GLIPR1/HVCN1/B2M/CTSH/MMP25/ITGAL/PYCARD/ITGAM/ITGAX/COTL1/P2RX1/CD300A/RAB37/UNC13D/TMC6/ARHGAP45/ADGRE3/TYROBP/CEACAM3/C5AR1/SIGLEC9/CD33/SIGLEC5/SIGLEC14/OSCAR/LAIR1/FCAR/SIRPB1/SNAP25/MMP9/TRPM2/ITGB2/ADA2/NFAM1/CYBB/CFP/PSMD14/PSMD1/PRSS3/TUBB4B/GSTP1/NDUFC2/MGST1/MLEC/DNAJC3/SERPINA3/HP/CRISPLD2/ELANE/FTL/SLPI,97
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,32/1291,101/10616,1.68332489756184e-07,1.17634704606086e-05,1.10901405015839e-05,TNFRSF18/TNFRSF4/TNFRSF25/TNFRSF9/TNFRSF8/TNFRSF1B/FASLG/TNFSF4/EDAR/LTA/TNF/LTB/PSMB9/TNFSF8/NFKB2/BIRC3/CD27/TNFSF11/TNFSF13B/TNFRSF17/TNFRSF13B/PSMA8/TNFSF9/CD70/TNFRSF13C/CD40LG/PSMD14/PSMD1/TNFRSF11B/PSMB5/TNFRSF12A/PSMC4,32
