ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,3/58,14/10616,5.39815691696364e-05,0.00635183957737862,0.00562485376108717,AKR1C1/AKR1C2/AKR1C3,3
R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,3/58,15/10616,6.72152336230542e-05,0.00635183957737862,0.00562485376108717,AKR1C1/AKR1C2/AKR1C3,3
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,5/58,93/10616,0.00014706323076401,0.00926498353813263,0.00820458024262372,LYPD6B/MSLN/VNN1/FOLR2/RTN4RL1,5
R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,3/58,24/10616,0.000288729392586483,0.0136424637997113,0.0120810456371713,AKR1C1/AKR1C2/AKR1C3,3
R-HSA-196854,Metabolism of vitamins and cofactors,6/58,189/10616,0.000551797114361166,0.0208579309228521,0.0184706823544053,ENPP2/VNN1/AKR1B10/AKR1C1/AKR1C3/FOLR2,6
R-HSA-192105,Synthesis of bile acids and bile salts,3/58,34/10616,0.000821184655383912,0.0258673166445932,0.0229067298607091,AKR1C1/AKR1C2/AKR1C3,3
R-HSA-5661231,Metallothioneins bind metals,2/58,11/10616,0.00156326552889273,0.0343477975560549,0.0304165959978431,MT3/MT1E,2
R-HSA-194068,Bile acid and bile salt metabolism,3/58,43/10616,0.00163560940743119,0.0343477975560549,0.0304165959978431,AKR1C1/AKR1C2/AKR1C3,3
R-HSA-975634,Retinoid metabolism and transport,3/58,43/10616,0.00163560940743119,0.0343477975560549,0.0304165959978431,AKR1B10/AKR1C1/AKR1C3,3
R-HSA-6806667,Metabolism of fat-soluble vitamins,3/58,47/10616,0.00211609355688188,0.0399941682250675,0.0354167237414967,AKR1B10/AKR1C1/AKR1C3,3
R-HSA-166786,Creation of C4 and C2 activators,2/58,14/10616,0.00255939782872568,0.0403105158024295,0.0356968644532792,C1QA/C1QB,2
R-HSA-5660526,Response to metal ions,2/58,14/10616,0.00255939782872568,0.0403105158024295,0.0356968644532792,MT3/MT1E,2
R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),2/58,15/10616,0.00294281053566455,0.0427839377877385,0.0378871963700942,HPGDS/AKR1C3,2
R-HSA-199220,Vitamin B5 (pantothenate) metabolism,2/58,17/10616,0.00378500831725349,0.0510376268957083,0.0451962276603599,ENPP2/VNN1,2
R-HSA-2142753,Arachidonic acid metabolism,3/58,59/10616,0.0040506053091832,0.0510376268957083,0.0451962276603599,CYP1A1/HPGDS/AKR1C3,3
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,4/58,130/10616,0.00546739529041055,0.0645836068679746,0.057191832314163,SLAMF7/ULBP1/ICAM5/CLEC4G,4
R-HSA-166663,Initial triggering of complement,2/58,22/10616,0.00631738508061385,0.0663325433464454,0.0587405981179884,C1QA/C1QB,2
R-HSA-5365859,RA biosynthesis pathway,2/58,22/10616,0.00631738508061385,0.0663325433464454,0.0587405981179884,ADH1C/AKR1C3,2
R-HSA-211859,Biological oxidations,5/58,221/10616,0.00699264631885486,0.0695584291717668,0.0615972722824334,CHAC1/CYP1A1/CYP24A1/HPGDS/ADH1C,5
R-HSA-8957322,Metabolism of steroids,4/58,151/10616,0.00920632536602429,0.0869997747089295,0.0770424070104138,CYP24A1/AKR1C1/AKR1C2/AKR1C3,4
R-HSA-5669034,TNFs bind their physiological receptors,2/58,29/10616,0.01083508324964,0.0975157492467596,0.086354798831717,TNFRSF18/TNFRSF13B,2
R-HSA-156590,Glutathione conjugation,2/58,36/10616,0.0164080258181534,0.140959858165045,0.124826607898871,CHAC1/HPGDS,2
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,3/58,101/10616,0.0176750581206564,0.142862536984593,0.126511519802564,TNFRSF18/TNFRSF13B/TNFRSF13C,3
R-HSA-2187338,Visual phototransduction,3/58,102/10616,0.0181412745377262,0.142862536984593,0.126511519802564,AKR1B10/AKR1C1/AKR1C3,3
R-HSA-211945,Phase I - Functionalization of compounds,3/58,105/10616,0.0195809706701693,0.14803213826648,0.131089445749765,CYP1A1/CYP24A1/ADH1C,3
R-HSA-5362517,Signaling by Retinoic Acid,2/58,43/10616,0.0229531365179003,0.166851646226275,0.147755008354095,ADH1C/AKR1C3,2
R-HSA-977606,Regulation of Complement cascade,2/58,46/10616,0.0260361763053173,0.182253234137221,0.161393841424774,C1QA/C1QB,2
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,3/58,123/10616,0.0295163973420899,0.199235682059107,0.176432600653846,ENPP2/VNN1/FOLR2,3
R-HSA-166658,Complement cascade,2/58,57/10616,0.0386502183267265,0.251892802198321,0.223062966023576,C1QA/C1QB,2
R-HSA-211897,Cytochrome P450 - arranged by substrate type,2/58,65/10616,0.049002176912466,0.296028762013613,0.262147441716315,CYP1A1/CYP24A1,2
R-HSA-209968,Thyroxine biosynthesis,1/58,10/10616,0.0533327368317038,0.296028762013613,0.262147441716315,TPO,1
R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),1/58,10/10616,0.0533327368317038,0.296028762013613,0.262147441716315,TNFRSF18,1
R-HSA-196791,Vitamin D (calciferol) metabolism,1/58,11/10616,0.0585096839619845,0.296028762013613,0.262147441716315,CYP24A1,1
R-HSA-8963691,Phenylalanine and tyrosine metabolism,1/58,11/10616,0.0585096839619845,0.296028762013613,0.262147441716315,HPD,1
R-HSA-174403,Glutathione synthesis and recycling,1/58,12/10616,0.0636588059167426,0.296028762013613,0.262147441716315,CHAC1,1
R-HSA-71384,Ethanol oxidation,1/58,12/10616,0.0636588059167426,0.296028762013613,0.262147441716315,ADH1C,1
R-HSA-8851680,Butyrophilin (BTN) family interactions,1/58,12/10616,0.0636588059167426,0.296028762013613,0.262147441716315,CD209,1
R-HSA-1483213,Synthesis of PE,1/58,13/10616,0.0687802496414526,0.296028762013613,0.262147441716315,ETNPPL,1
R-HSA-2168880,Scavenging of heme from plasma,1/58,13/10616,0.0687802496414526,0.296028762013613,0.262147441716315,HP,1
R-HSA-3270619,IRF3-mediated induction of type I IFN,1/58,13/10616,0.0687802496414526,0.296028762013613,0.262147441716315,DTX4,1
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,1/58,13/10616,0.0687802496414526,0.296028762013613,0.262147441716315,S100A12,1
R-HSA-8978868,Fatty acid metabolism,3/58,177/10616,0.0722771012511679,0.296028762013613,0.262147441716315,CYP1A1/HPGDS/AKR1C3,3
R-HSA-3134975,Regulation of innate immune responses to cytosolic DNA,1/58,15/10616,0.0789406863753327,0.296028762013613,0.262147441716315,DTX4,1
R-HSA-391903,Eicosanoid ligand-binding receptors,1/58,15/10616,0.0789406863753327,0.296028762013613,0.262147441716315,PTGER1,1
R-HSA-5099900,WNT5A-dependent internalization of FZD4,1/58,15/10616,0.0789406863753327,0.296028762013613,0.262147441716315,PRKCG,1
R-HSA-71336,Pentose phosphate pathway,1/58,15/10616,0.0789406863753327,0.296028762013613,0.262147441716315,TALDO1,1
R-HSA-1834941,STING mediated induction of host immune responses,1/58,16/10616,0.0839799694797786,0.296028762013613,0.262147441716315,DTX4,1
R-HSA-3322077,Glycogen synthesis,1/58,16/10616,0.0839799694797786,0.296028762013613,0.262147441716315,PGM2L1,1
R-HSA-1482922,Acyl chain remodelling of PI,1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,PLA2G5,1
R-HSA-196757,Metabolism of folate and pterines,1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,FOLR2,1
R-HSA-416993,Trafficking of GluR2-containing AMPA receptors,1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,PRKCG,1
R-HSA-5083625,Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC),1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,MUC7,1
R-HSA-5083636,Defective GALNT12 causes colorectal cancer 1 (CRCS1),1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,MUC7,1
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,TNFRSF13C,1
R-HSA-70221,Glycogen breakdown (glycogenolysis),1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,PGM2L1,1
R-HSA-9018677,Biosynthesis of DHA-derived SPMs,1/58,17/10616,0.0889921545524365,0.296028762013613,0.262147441716315,CYP1A1,1
R-HSA-877300,Interferon gamma signaling,2/58,92/10616,0.0899192673974775,0.296028762013613,0.262147441716315,GBP5/IRF4,2
R-HSA-209776,Metabolism of amine-derived hormones,1/58,18/10616,0.0939773847662262,0.296028762013613,0.262147441716315,TPO,1
R-HSA-5083632,Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS),1/58,18/10616,0.0939773847662262,0.296028762013613,0.262147441716315,MUC7,1
